Algo,score,episodes,max_t,PER,mode,eps_start,eps_end,eps_decay
4,14.0,0,1000,0,play,1.0,0.01,0.995
4,16.03,1093,1000,0,training,1.0,0.01,0.995
4,15.0,0,1000,0,play,1.0,0.01,0.995
4,16.01,1565,1000,0,training,1.0,0.01,0.995
3,14.72,2000,1000,0,training,1.0,0.01,0.995
1,16.02,726,1000,0,training,1.0,0.01,0.995
1,6.0,0,1000,0,play,1.0,0.01,0.995
4,16.06,878,1000,0,training,1.0,0.01,0.995
4,16.0,0,1000,0,play,1.0,0.01,0.995
3,16.0,863,1000,0,training,1.0,0.01,0.995
3,16.0,0,1000,0,play,1.0,0.01,0.995
4,16.02,700,1000,0,training,1.0,0.01,0.995
4,18.0,0,1000,0,play,1.0,0.01,0.995
4,18.0,0,1000,0,play,1.0,0.01,0.995
4,18.0,0,1000,0,play,1.0,0.01,0.995
4,18.0,0,1000,0,play,1.0,0.01,0.995
4,18.0,0,1000,0,play,1.0,0.01,0.995
2,16.03,1804,1000,0,training,1.0,0.01,0.995
2,16.0,0,1000,0,play,1.0,0.01,0.995
2,16.05,738,1000,0,training,1.0,0.01,0.995
2,13.0,0,1000,0,play,1.0,0.01,0.995
5,16.01,431,1000,0,training,1.0,0.01,0.995
5,15.0,0,1000,0,play,1.0,0.01,0.995
5,16.04,361,1000,0,training,1.0,0.01,0.995
5,17.0,0,1000,0,play,1.0,0.01,0.995
1,16.02,726,1000,0,training,1.0,0.01,0.995
1,6.0,0,1000,0,play,1.0,0.01,0.995
4,18.0,0,1000,0,play,1.0,0.01,0.995
3,16.0,0,1000,0,play,1.0,0.01,0.995
1,6.0,0,1000,0,play,1.0,0.01,0.995
2,13.0,0,1000,0,play,1.0,0.01,0.995
6,0.63,1900,1000,0,training,1.0,0.01,0.995
6,0.51,1900,1000,0,training,1.0,0.01,0.995
5,16.01,520,1000,0,training,1.0,0.01,0.995
5,9.0,0,1000,0,play,1.0,0.01,0.995
5,9.0,0,1000,0,play,1.0,0.01,0.995
5,16.03,363,1000,0,training,1.0,0.01,0.995
5,17.0,0,1000,0,play,1.0,0.01,0.995
1,16.0,1044,1000,0,training,1.0,0.01,0.995
1,14.0,0,1000,0,play,1.0,0.01,0.995
1,16.06,912,1000,0,training,1.0,0.01,0.995
1,6.0,0,1000,0,play,1.0,0.01,0.995
1,6.0,0,1000,0,play,1.0,0.01,0.995
1,16.04,1404,1000,0,training,1.0,0.01,0.995
1,3.0,0,1000,0,play,1.0,0.01,0.995
1,3.0,0,1000,0,play,1.0,0.01,0.995
2,2.05,2000,1000,0,training,1.0,0.01,0.995
2,16.01,768,1000,0,training,1.0,0.01,0.995
2,15.0,0,1000,0,play,1.0,0.01,0.995
3,16.0,1040,1000,0,training,1.0,0.01,0.995
3,2.0,0,1000,0,play,1.0,0.01,0.995
3,2.0,0,1000,0,play,1.0,0.01,0.995
4,14.78,2000,1000,0,training,1.0,0.01,0.995
3,16.05,1114,1000,0,training,1.0,0.01,0.995
3,16.0,0,1000,0,play,1.0,0.01,0.995
2,16.0,1139,1000,0,training,1.0,0.01,0.995
2,16.0,0,1000,0,play,1.0,0.01,0.995
1,11.29,2000,1000,0,training,1.0,0.01,0.995
5,16.01,795,1000,0,training,1.0,0.01,0.995
5,16.0,0,1000,0,play,1.0,0.01,0.995
6,16.01,914,1000,0,training,1.0,0.01,0.995
6,6.0,0,1000,0,play,1.0,0.01,0.995
6,16.01,816,1000,0,training,1.0,0.01,0.995
6,7.0,0,1000,0,play,1.0,0.01,0.995
6,16.0,931,1000,0,training,1.0,0.01,0.995
6,11.0,0,1000,0,play,1.0,0.01,0.995
7,16.03,617,1000,0,training,1.0,0.01,0.995
7,5.0,0,1000,0,play,1.0,0.01,0.995
7,16.02,624,1000,0,training,1.0,0.01,0.995
7,17.0,0,1000,0,play,1.0,0.01,0.995
6,16.0,1201,1000,0,training,1.0,0.01,0.995
6,18.0,0,1000,0,play,1.0,0.01,0.995
5,16.04,718,1000,0,training,1.0,0.01,0.995
5,9.0,0,1000,0,play,1.0,0.01,0.995
4,13.74,2000,1000,0,training,1.0,0.01,0.995
3,14.36,2000,1000,0,training,1.0,0.01,0.995
2,16.0,747,1000,0,training,1.0,0.01,0.995
2,14.0,0,1000,0,play,1.0,0.01,0.995
1,13.09,2000,1000,0,training,1.0,0.01,0.995
7,17.0,0,1000,0,play,1.0,0.01,0.995
6,18.0,0,1000,0,play,1.0,0.01,0.995
7,0.0,0,1000,0,play,1.0,0.01,0.995
6,18.0,0,1000,0,play,1.0,0.01,0.995
7,0.0,0,1000,0,play,1.0,0.01,0.995
7,16.01,863,1000,0,training,1.0,0.01,0.995
7,16.0,0,1000,0,play,1.0,0.01,0.995
5,17.0,0,1000,0,play,1.0,0.01,0.995
4,2.0,0,1000,0,play,1.0,0.01,0.995
3,12.0,0,1000,0,play,1.0,0.01,0.995
2,10.0,0,1000,0,play,1.0,0.01,0.995
1,19.0,0,1000,0,play,1.0,0.01,0.995
1,19.0,0,1000,0,play,1.0,0.01,0.995
2,10.0,0,1000,0,play,1.0,0.01,0.995
3,12.0,0,1000,0,play,1.0,0.01,0.995
4,2.0,0,1000,0,play,1.0,0.01,0.995
5,17.0,0,1000,0,play,1.0,0.01,0.995
6,18.0,0,1000,0,play,1.0,0.01,0.995
7,16.0,0,1000,0,play,1.0,0.01,0.995
1,15.0,0,1000,0,play,1.0,0.01,0.995
2,16.0,0,1000,0,play,1.0,0.01,0.995
3,14.0,0,1000,0,play,1.0,0.01,0.995
4,12.0,0,1000,0,play,1.0,0.01,0.995
5,14.0,0,1000,0,play,1.0,0.01,0.995
6,10.0,0,1000,0,play,1.0,0.01,0.995
7,7.0,0,1000,0,play,1.0,0.01,0.995
1,15.0,0,1000,0,play,1.0,0.01,0.995
2,16.0,0,1000,0,play,1.0,0.01,0.995
3,14.0,0,1000,0,play,1.0,0.01,0.995
4,12.0,0,1000,0,play,1.0,0.01,0.995
5,14.0,0,1000,0,play,1.0,0.01,0.995
6,10.0,0,1000,0,play,1.0,0.01,0.995
7,7.0,0,1000,0,play,1.0,0.01,0.995
7,16.0,553,1000,0,training,1.0,0.01,0.995
7,13.0,0,1000,0,play,1.0,0.01,0.995
1,15.0,0,1000,0,play,1.0,0.01,0.995
2,16.0,0,1000,0,play,1.0,0.01,0.995
3,14.0,0,1000,0,play,1.0,0.01,0.995
4,12.0,0,1000,0,play,1.0,0.01,0.995
5,14.0,0,1000,0,play,1.0,0.01,0.995
6,10.0,0,1000,0,play,1.0,0.01,0.995
7,13.0,0,1000,0,play,1.0,0.01,0.995
1,12.97,2000,1000,0,training,1.0,0.01,0.995
7,13.0,0,1000,0,play,1.0,0.01,0.995
1,14.75,2000,1000,0,training,1.0,0.01,0.995
2,16.05,1448,1000,0,training,1.0,0.01,0.995
2,17.0,0,1000,0,play,1.0,0.01,0.995
3,16.01,1390,1000,0,training,1.0,0.01,0.995
3,18.0,0,1000,0,play,1.0,0.01,0.995
5,16.01,1720,1000,1,training,1.0,0.01,0.995
5,16.0,0,1000,0,play,1.0,0.01,0.995
4,14.83,2000,1000,0,training,1.0,0.01,0.995
4,12.0,0,1000,0,play,1.0,0.01,0.995
4,12.0,0,1000,0,play,1.0,0.01,0.995
3,18.0,0,1000,0,play,1.0,0.01,0.995
2,17.0,0,1000,0,play,1.0,0.01,0.995
1,15.0,0,1000,0,play,1.0,0.01,0.995
8,16.0,422,1000,1,training,1.0,0.01,0.995
8,22.0,0,1000,0,play,1.0,0.01,0.995
5,16.0,0,1000,0,play,1.0,0.01,0.995
7,16.0,348,1000,1,training,1.0,0.01,0.995
7,9.0,0,1000,0,play,1.0,0.01,0.995
4,13.65,2000,1000,0,training,1.0,0.01,0.995
7,16.01,358,1000,1,training,1.0,0.01,0.995
7,14.0,0,1000,0,play,1.0,0.01,0.995
7,16.02,448,1000,1,training,1.0,0.01,0.995
7,7.0,0,1000,0,play,1.0,0.01,0.995
7,16.0,523,1000,1,training,1.0,0.01,0.995
7,15.0,0,1000,0,play,1.0,0.01,0.995
6,16.02,1578,1000,0,training,1.0,0.01,0.995
6,4.0,0,1000,0,play,1.0,0.01,0.995
6,16.02,1630,1000,0,training,1.0,0.01,0.995
6,5.0,0,1000,0,play,1.0,0.01,0.995
7,16.01,367,1000,1,training,1.0,0.01,0.995
7,11.0,0,1000,0,play,1.0,0.01,0.995
1,13.0,0,1000,0,play,1.0,0.01,0.995
2,18.0,0,1000,0,play,1.0,0.01,0.995
3,13.0,0,1000,0,play,1.0,0.01,0.995
4,7.0,0,1000,0,play,1.0,0.01,0.995
5,9.0,0,1000,0,play,1.0,0.01,0.995
6,18.0,0,1000,0,play,1.0,0.01,0.995
7,11.0,0,1000,0,play,1.0,0.01,0.995
8,0.0,0,1000,0,play,1.0,0.01,0.995
1,13.0,0,1000,0,play,1.0,0.01,0.995
2,18.0,0,1000,0,play,1.0,0.01,0.995
3,13.0,0,1000,0,play,1.0,0.01,0.995
4,7.0,0,1000,0,play,1.0,0.01,0.995
5,9.0,0,1000,0,play,1.0,0.01,0.995
6,18.0,0,1000,0,play,1.0,0.01,0.995
7,13.0,0,1000,0,play,1.0,0.01,0.995
8,0.0,0,1000,0,play,1.0,0.01,0.995
7,13.0,0,1000,0,play,1.0,0.01,0.995
8,3.0,0,1000,0,play,1.0,0.01,0.995
1,13.0,0,1000,0,play,1.0,0.01,0.995
2,18.0,0,1000,0,play,1.0,0.01,0.995
3,13.0,0,1000,0,play,1.0,0.01,0.995
4,7.0,0,1000,0,play,1.0,0.01,0.995
3,13.0,0,1000,0,play,1.0,0.01,0.995
3,13.0,0,1000,0,play,1.0,0.01,0.995
